# checked-artifact-semantic-v1
# provenance=independent-hand-authored-semantic-recipes;generator=none;regen-owned=false
# name|record-kind|coverage|canonical-cbor-hex
path-sensitive-linux|canonical_path_identity|identity=linux;path_mode=sensitive|a10181a60144526f6f7402000344526f6f7404a80100025001010101010101010101010101010101030104581802020202020202020202020202020202020202020202020205f606f607f608f60548020202020202020206480303030303030303
path-folded-mac|canonical_path_identity|identity=mac;path_mode=ascii_case_fold|a10181a60144524f4f5402010344726f6f7404a8010102f603f604f60550030303030303030303030303030303030648040404040404040407f608f60548040404040404040406480505050505050505
capacity-k1-n8|capacity|schedule=k1_n8;cleanup=source,goal,authority|a40158201111111111111111111111111111111111111111111111111111111111111111025820121212121212121212121212121212121212121212121212121212121212121203a50118400281a201582001010101010101010101010101010101010101010101010101010101010101010208038300010204582001db81cb4b3e811284372a1d169451bfce86a53b8c19af2befbe82a04d2561390558203a76c03b7c6a7f6c50497283f9b9a012f26cacc2e180f0da3e2c63862684c6bc04582043949554b9b4905238218aaf59e6848ed0e5cbcd2e854bba93ae4fc414bdf3a4
capacity-k8-n8|capacity|schedule=k8_n8;cleanup=source,goal,authority|a40158202121212121212121212121212121212121212121212121212121212121212121025820222222222222222222222222222222222222222222222222222222222222222203a50118400288a201582001010101010101010101010101010101010101010101010101010101010101010201a201582002020202020202020202020202020202020202020202020202020202020202020201a201582003030303030303030303030303030303030303030303030303030303030303030201a201582004040404040404040404040404040404040404040404040404040404040404040201a201582005050505050505050505050505050505050505050505050505050505050505050201a201582006060606060606060606060606060606060606060606060606060606060606060201a201582007070707070707070707070707070707070707070707070707070707070707070201a20158200808080808080808080808080808080808080808080808080808080808080808020103830001020458200c70d884c91b74aa7868afea9511bf6d2affc252fb270fa80f25032f9fca1ab4055820b7a10daafc8ce27dd30bd6cc645fed39b8ac560ae54827db05f565b7f7ae34d004582039bd8f7c8bc9d69a096be779b0c713a21995aa2bc57bb4a62b5ef5220f285cff
admission-idle|admission|admission=idle|a8010002f603f604f605f606f607f6085820de5e6293fbb326621a014cf7bae88f8cb2482d1b4c3afe1be516ee735d533a10
admission-preparing|admission|admission=preparing|a801010258201111111111111111111111111111111111111111111111111111111111111111035820121212121212121212121212121212121212121212121212121212121212121204582001db81cb4b3e811284372a1d169451bfce86a53b8c19af2befbe82a04d25613905581b616374696f6e2d61646d697373696f6e2d73746167696e672d763106584a616374696f6e2d313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131312d763107582043949554b9b4905238218aaf59e6848ed0e5cbcd2e854bba93ae4fc414bdf3a4085820fcc41f36a391e7b089fc58aee7d5ba703b2ea394f4309c395036ee91fba0d074
authority-linux|authority|identity=linux|aa0158201111111111111111111111111111111111111111111111111111111111111111025820121212121212121212121212121212121212121212121212121212121212121203582001db81cb4b3e811284372a1d169451bfce86a53b8c19af2befbe82a04d25613904582043949554b9b4905238218aaf59e6848ed0e5cbcd2e854bba93ae4fc414bdf3a405a10181a60148417274696661637402000348417274696661637404a8010002500a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a03010458180b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b05f606f607f608f6054814141414141414140648151515151515151506a8010002500b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b03010458180c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c05f606f607f608f607a301a8010002500c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c03010458180d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d05f606f607f608f60248dd000000000000000358200d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0858200e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0958200f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0a5820c513da0895541f2d8f266912cb3f4ae3bc814474889cbbdae58e3c9b9129d795
catalog-workspace-linux|catalog_bootstrap|root=workspace;profile=linux;identity=linux|ae0100020003480b0b0b0b0b0b0b0b04480c0c0c0c0c0c0c0c0558200d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0658200e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e07a8010002500a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a03010458180b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b05f606f607f608f608a10181a60147436174616c6f6702000347436174616c6f6704a8010002500a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a03010458180b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b05f606f607f608f605480f0f0f0f0f0f0f0f0648101010101010101009582e636865636b65642d6172746966616374732d636174616c6f672d626f6f7473747261702d76312e73746167696e670a51636865636b65642d6172746966616374730b53636174616c6f672d616e63686f722d612d76310c53636174616c6f672d616e63686f722d622d76310d5820ddbc19112031b4c576941133b660d8a613e130bd262d25b60587e7f8f6c206890e58201010101010101010101010101010101010101010101010101010101010101010
catalog-git-mac|catalog_bootstrap|root=git_directory;profile=mac;identity=mac|ae0101020103481515151515151515044816161616161616160558201717171717171717171717171717171717171717171717171717171717171717065820181818181818181818181818181818181818181818181818181818181818181807a8010102f603f604f60550141414141414141414141414141414140648151515151515151507f608f608a10181a60147436174616c6f6702010347636174616c6f6704a8010102f603f604f60550141414141414141414141414141414140648151515151515151507f608f60548191919191919191906481a1a1a1a1a1a1a1a09582e636865636b65642d6172746966616374732d636174616c6f672d626f6f7473747261702d76312e73746167696e670a51636865636b65642d6172746966616374730b53636174616c6f672d616e63686f722d612d76310c53636174616c6f672d616e63686f722d622d76310d5820b3ab8cbec0a7878c01bbdbfff613b61a007707895121ce75e01daab631aedef60e58201a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a
catalog-workspace-windows|catalog_bootstrap|root=workspace;profile=windows;identity=windows|ae0100020203481f1f1f1f1f1f1f1f044820202020202020200558202121212121212121212121212121212121212121212121212121212121212121065820222222222222222222222222222222222222222222222222222222222222222207a8010202f603f604f605f606f607445f00600008501e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e08a10181a60147436174616c6f6702000347436174616c6f6704a8010202f603f604f605f606f607445f00600008501e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e054823232323232323230648242424242424242409582e636865636b65642d6172746966616374732d636174616c6f672d626f6f7473747261702d76312e73746167696e670a51636865636b65642d6172746966616374730b53636174616c6f672d616e63686f722d612d76310c53636174616c6f672d616e63686f722d622d76310d5820e2d43bae669fed26211d4336dc20d01d718f37e9f6a75ccc5380a49e0ea073ec0e58202424242424242424242424242424242424242424242424242424242424242424
infrastructure-mac|infrastructure|identity=mac|ac010102a8010102f603f604f605501e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e06481f1f1f1f1f1f1f1f07f608f603a8010102f603f604f605501f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f0648202020202020202007f608f604a8010102f603f604f60550202020202020202020202020202020200648212121212121212107f608f605a8010102f603f604f60550212121212121212121212121212121210648222222222222222207f608f6065820222222222222222222222222222222222222222222222222222222222222222207581a616374696f6e2d61646d697373696f6e2d6163746976652d763108581b616374696f6e2d61646d697373696f6e2d736372617463682d763109581b616374696f6e2d61646d697373696f6e2d73746167696e672d76310a582013a497f715b465fe4531e54429418e7c5aba6064572276f58d610d54b7299cb50b582023232323232323232323232323232323232323232323232323232323232323230ca8010102f603f604f60550242424242424242424242424242424240648252525252525252507f608f6
barrier-windows|barrier_intent|identity=windows;path_mode=ascii_case_fold|ac0158201111111111111111111111111111111111111111111111111111111111111111025820121212121212121212121212121212121212121212121212121212121212121203582001db81cb4b3e811284372a1d169451bfce86a53b8c19af2befbe82a04d25613904183f05a8010202f603f604f605f606f6074469006a0008502828282828282828282828282828282806a8010202f603f604f605f606f607446a006b000850292929292929292929292929292929290756726f616d696e672d616e63686f722d686f6d652d763108a8010202f603f604f605f606f607446b006c0008502a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a09a10181a601465441524745540201034674617267657404a8010202f603f604f605f606f607446c006d0008502b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b05482c2c2c2c2c2c2c2c06482d2d2d2d2d2d2d2d0a5567777a2d626172726965722d7461726765742d76310b5820fd002c0560b54cb4c8a4dbc3d7f3935cfb7267612e31111defd541936600ea940c582043949554b9b4905238218aaf59e6848ed0e5cbcd2e854bba93ae4fc414bdf3a4
ownership-marker|marker|marker=ownership|ac015820515151515151515151515151515151515151515151515151515151515151515102582061616161616161616161616161616161616161616161616161616161616161610358207171717171717171717171717171717171717171717171717171717171717171045820c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c105000600070008456d6572676509585c67777a2d626f6f7473747261702d353135313531353135313531353135313531353135313531353135313531353135313531353135313531353135313531353135313531353135313531353135312d30302d73746167696e672d76310a456d657267650b5820b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b10c5820e4749d118c2305855a7b41c18898ea1cef58ab8bd1a5a3cc0ac934814f35c363
cleanup-all-aliases|cleanup_worklist|cleanup=source,goal,authority;identity=linux,mac,windows|a50158201111111111111111111111111111111111111111111111111111111111111111025820121212121212121212121212121212121212121212121212121212121212121203582001db81cb4b3e811284372a1d169451bfce86a53b8c19af2befbe82a04d2561390483a2010002a301a80100025064646464646464646464646464646464030104581865656565656565656565656565656565656565656565656505f606f607f608f60248b5060000000000000358206565656565656565656565656565656565656565656565656565656565656565a2010102a301a8010102f603f604f60550666666666666666666666666666666660648676767676767676707f608f60248d7060000000000000358206767676767676767676767676767676767676767676767676767676767676767a2010202a301a8010202f603f604f605f606f60744a900aa000850686868686868686868686868686868680248f906000000000000035820696969696969696969696969696969696969696969696969696969696969696905582043949554b9b4905238218aaf59e6848ed0e5cbcd2e854bba93ae4fc414bdf3a4
managed-merge_store-install_components|bootstrap_intent|purpose=merge_store;phase=install_components|b40158205151515151515151515151515151515151515151515151515151515151515151025820616161616161616161616161616161616161616161616161616161616161616103582081818181818181818181818181818181818181818181818181818181818181810458207171717171717171717171717171717171717171717171717171717171717171055820919191919191919191919191919191919191919191919191919191919191919106000700080009000aa80100025050505050505050505050505050505050030104581851515151515151515151515151515151515151515151515105f606f607f608f60b000ca10181a60146706172656e7402000346706172656e7404a80100025050505050505050505050505050505050030104581851515151515151515151515151515151515151515151515105f606f607f608f605485a5a5a5a5a5a5a5a06485b5b5b5b5b5b5b5b0d81ab01456d6572676502585c67777a2d626f6f7473747261702d353135313531353135313531353135313531353135313531353135313531353135313531353135313531353135313531353135313531353135313531353135312d30302d73746167696e672d763103456d65726765045667777a2d626f6f7473747261702d6f776e65722d7631050006f607f608f609f60af60bf60e5820b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b10ff6100011001258208a2d3aeaf6c031b01f76dbce271e044f2982e59adae3f83dc973f92e7b3043531300145820a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
managed-merge_store-retire_markers|bootstrap_intent|purpose=merge_store;phase=retire_markers|b40158205151515151515151515151515151515151515151515151515151515151515151025820616161616161616161616161616161616161616161616161616161616161616103582081818181818181818181818181818181818181818181818181818181818181810458207171717171717171717171717171717171717171717171717171717171717171055820919191919191919191919191919191919191919191919191919191919191919106000701080009000aa80100025032323232323232323232323232323232030104581833333333333333333333333333333333333333333333333305f606f607f608f60b000ca10181a601456d65726765020003456d6572676504a80100025032323232323232323232323232323232030104581833333333333333333333333333333333333333333333333305f606f607f608f605483c3c3c3c3c3c3c3c06483d3d3d3d3d3d3d3d0d81ab01456d6572676502585c67777a2d626f6f7473747261702d353135313531353135313531353135313531353135313531353135313531353135313531353135313531353135313531353135313531353135313531353135312d30302d73746167696e672d763103456d65726765045667777a2d626f6f7473747261702d6f776e65722d76310500065820e4749d118c2305855a7b41c18898ea1cef58ab8bd1a5a3cc0ac934814f35c363075820c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c108a80100025032323232323232323232323232323232030104581833333333333333333333333333333333333333333333333305f606f607f608f609000aa10181a601456d65726765020003456d6572676504a80100025032323232323232323232323232323232030104581833333333333333333333333333333333333333333333333305f606f607f608f605483c3c3c3c3c3c3c3c06483d3d3d3d3d3d3d3d0ba80100025046464646464646464646464646464646030104581847474747474747474747474747474747474747474747474705f606f607f608f60e5820b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b10f5820d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1100111001258201ba041304df6e2ea1d2b82106df577735a22bd8b6462f256db7c2e5fb15a23261300145820a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
